file,label
VIDEO_29_HD_SHORT.MOV,FAKE
VIDEO_30_HD_SHORT.MOV,FAKE
VIDEO_31_HD_SHORT.MOV,FAKE
VIDEO_32_HD_SHORT.MOV,FAKE
VIDEO_33_HD_SHORT.MOV,FAKE
VIDEO_34_HD_SHORT.MOV,FAKE
VIDEO_35_HD_SHORT.MOV,FAKE
VIDEO_36_HD_SHORT.MOV,FAKE
VIDEO_37_HD_SHORT.MOV,FAKE
VIDEO_38_HD_SHORT.MOV,FAKE
VIDEO_39_HD_SHORT.MOV,FAKE
VIDEO_40_HD_SHORT.MOV,FAKE
VIDEO_41_HD_SHORT.MOV,FAKE
VIDEO_42_HD_SHORT.MOV,FAKE
VIDEO_43_HD_SHORT.MOV,FAKE
VIDEO_44_HD_SHORT.MOV,FAKE
VIDEO_45_HD_SHORT.MOV,FAKE
VIDEO_46_HD_SHORT.MOV,FAKE
VIDEO_47_HD_SHORT.MOV,FAKE
VIDEO_48_HD_SHORT.MOV,FAKE
VIDEO_49_HD_SHORT.MOV,FAKE
VIDEO_50_HD_SHORT.MOV,FAKE
